package,current_version(s),latest_version,location_count,dep_type(s)
"rete-connection-plugin","^2.0.1","2.0.5","1","dependencies"
"rete-render-utils","^2.0.2","2.0.3","1","dependencies"
"rimraf","^5.0.10 | 5.0.7 | ^5.0.0 | ^5.0.5","6.1.2","17","dev"
"roughjs","^4.6.6","4.6.6","1","dependencies"
"rrweb-cssom","^0.7.1","0.8.0","2","dependencies"
"rss-parser","^3.13.0","3.13.0","1","dependencies"
"rxjs","^7.8.1 | ~7.8.0 | ^7.6.0 | ^7.8.0","7.8.2","62","dependencies | peer"
"sass","^1.77.2","1.97.3","9","dev"
"saxes","^6.0.0","6.0.0","2","dependencies"
"simple-git","^3.27.0","3.30.0","1","dependencies"
"sql-formatter","^15.3.2","15.7.0","1","dependencies"
"symbol-tree","^3.2.4","3.2.4","2","dependencies"
"table","^6.8.1","6.9.0","1","dependencies"
"tough-cookie","^4.1.4","6.0.0","2","dependencies"
"tree-kill","^1.2.2","1.2.2","1","dependencies"
"ts-jest","^29.1.2 | ^29.2.5 | ^29.1.0","29.4.6","11","dev"
"ts-node","^10.9.2","10.9.2","3","dev"
"ts-node-dev","^2.0.0","2.0.0","75","dev | dependencies"
"tsc-alias","^1.8.15","1.8.16","3","dev"
"tslib","^2.8.1","2.8.1","60","dependencies"
"tsx","^4.19.0","4.21.0","1","dev"
"turndown","^7.2.0","7.2.2","1","dependencies"
"twilio","^4.23.0","5.12.1","1","dependencies"
"type-graphql","2.0.0-beta.3","2.0.0-rc.2","1","dependencies"
"typed-assert","^1.0.9","1.0.9","1","dev"
"typedi","^0.10.0","0.10.0","1","dependencies"
"typescript","^5.0.2 | ^5.4.5 | ^5.0.0 | ~5.3.3 | ^5.3.2 | ^5.3.3 | ~5.9.3 | 5.3.3 | ^5.3.0","5.9.3","116","dev | dependencies"
"unzipper","^0.12.3","0.12.3","1","dependencies"
"uuid","^10.0.0 | ^9.0.1 | ^9.0.0","13.0.0","10","dependencies"
"validator","^13.11.0","13.15.26","1","dependencies"
"vitest","^1.6.0 | ^1.0.0","4.0.18","2","dev"
"w3c-xmlserializer","^5.0.0","5.0.0","2","dependencies"
"webidl-conversions","^7.0.0","8.0.1","2","dependencies"
"webpack","^5.89.0","5.105.0","1","dev"
"webpack-cli","^5.1.4","6.0.1","1","dev"
"whatwg-encoding","^3.1.1","3.1.1","2","dependencies"
"whatwg-mimetype","^4.0.0","5.0.0","2","dependencies"
"whatwg-url","^14.0.0","16.0.0","2","dependencies"
"ws","^8.18.0 | ^8.13.0","8.19.0","3","dependencies"
"xml-name-validator","^5.0.0","5.0.0","2","dependencies"
"xml2js","^0.6.2","0.6.2","2","dependencies"
"xpath","^0.0.33","0.0.34","1","dependencies"
"yargs","^17.7.2","18.0.0","1","dependencies"
"zod","^3.22.4 | ^3.25.0 | ^3.24.2 | ^3.23.4 | ^3.23.8 | ^3.22.0","4.3.6","19","dependencies"
"zone.js","^0.16.0","0.16.0","2","dependencies"
"zxcvbn","^4.4.2","4.4.2","1","dependencies"
